SA1_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
90101100101,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,6,0,6
90101100103,3,43,38,21,10,121,7,121
90101100104,16,56,49,30,4,153,0,150
90101100105,6,72,39,18,6,141,5,148
90102100201,0,12,19,17,23,76,0,80
90102100202,0,20,11,4,0,44,3,43
90102100203,0,0,0,0,0,0,0,0
90103100301,0,6,16,4,3,34,0,34
90103100302,3,10,7,3,3,33,16,50
90103100303,0,0,0,0,0,6,0,6
90103100304,0,0,0,0,0,0,0,0
90104100401,0,68,64,20,18,164,10,173
90104100402,0,54,54,18,12,139,9,145
90104100403,10,80,79,32,19,223,9,229
90104100404,8,75,62,23,3,179,4,183
90104100405,0,4,0,0,0,4,0,4
90104100406,0,0,0,0,0,0,0,0
90104100407,0,59,72,30,8,164,0,168
90104100408,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0
