SA1_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
90101100101,0,0,0,19,34,7,5,44,215,324
90101100102,0,0,0,0,3,0,0,0,0,3
90101100103,0,0,0,47,80,25,20,72,18,256
90101100104,0,0,0,75,85,50,25,109,130,469
90101100105,0,0,4,54,70,38,31,87,62,344
90102100201,5,0,11,44,38,13,13,160,61,333
90102100202,0,0,0,25,45,14,8,6,29,121
90102100203,0,0,0,0,0,0,0,10,0,14
90103100301,0,0,0,19,23,9,14,18,22,98
90103100302,0,0,0,29,20,8,15,16,57,136
90103100303,0,0,0,3,0,0,3,3,0,11
90103100304,0,0,0,0,0,0,0,0,0,0
90104100401,0,0,7,56,95,69,42,38,13,323
90104100402,0,0,4,49,85,52,29,38,45,300
90104100403,3,0,13,69,137,59,49,92,40,446
90104100404,7,0,12,62,128,37,25,83,62,392
90104100405,0,0,0,0,3,0,0,0,0,7
90104100406,0,0,0,0,0,0,0,0,0,0
90104100407,0,0,10,65,111,54,42,42,55,366
90104100408,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,6,3,0,0,0,8,11
