SA1_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100103,37,70,0,0,8,30,0,3,33,128,38,161,0,0,0,0,4,28,7,26,48,187,0,0,0,3,0,5,0,7,0,11,0,0,0,4,0,0,0,4,3,15,0,0,92,277
90101100104,43,83,0,3,3,23,0,3,44,154,48,182,4,14,0,3,4,22,15,34,59,217,0,0,0,0,0,0,3,10,3,10,5,8,0,7,4,5,9,17,11,28,0,0,113,325
90101100105,39,71,0,5,4,10,0,0,25,107,32,129,4,12,5,6,4,22,8,37,40,166,0,0,4,8,0,0,7,13,8,22,0,0,0,0,10,12,10,12,13,35,0,4,99,275
90102100201,49,106,4,13,8,19,3,16,34,136,42,182,0,0,0,6,17,54,17,55,58,237,0,0,0,0,0,8,6,10,0,9,0,0,0,0,0,5,0,5,5,11,0,0,117,359
90102100202,19,39,0,0,0,3,0,0,12,42,10,47,0,0,0,3,0,3,0,6,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,87
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,13,16,0,0,0,0,0,9,6,33,12,41,0,0,0,0,0,0,0,0,12,41,0,0,0,10,5,6,0,0,3,18,0,0,0,0,0,3,0,3,5,23,0,0,30,83
90103100302,9,22,0,0,0,8,0,5,8,21,4,31,0,0,0,0,3,8,3,8,9,37,0,0,0,0,0,11,5,14,9,25,0,0,0,4,8,32,15,34,19,61,10,25,42,146
90103100303,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,54,112,0,0,0,13,0,21,20,82,27,113,0,4,0,10,5,21,11,30,37,149,0,0,4,6,0,0,6,12,12,17,0,0,0,5,0,4,0,9,14,29,0,0,104,286
90104100402,48,94,0,0,5,17,0,10,15,79,26,103,0,6,0,3,5,10,5,20,29,121,0,6,0,6,0,0,4,12,8,16,0,0,0,0,4,7,4,7,9,24,0,5,90,251
90104100403,66,128,0,0,0,0,0,6,20,86,23,89,0,0,3,8,11,27,16,36,34,124,0,0,0,0,0,0,9,25,11,27,0,4,0,0,12,16,10,22,25,51,0,6,129,315
90104100404,53,112,0,0,3,9,0,0,14,58,19,71,0,6,3,11,5,7,3,21,23,89,0,0,0,7,0,5,16,28,17,40,0,0,0,0,5,11,5,12,19,52,3,4,104,256
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,58,117,0,0,3,19,0,8,27,104,33,132,6,15,0,12,5,13,15,37,47,170,0,0,3,3,0,3,3,12,3,17,0,0,0,0,0,4,0,4,11,22,0,0,116,310
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
