SA1_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
90101100101,277,61,334,0,0,0,0,3,3,0,0,3,19,3,22,109,8,116,61,8,67,42,16,50,14,18,30,18,3,26,3,4,9,0,0,0,277,61,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,19,267,43,303,17,13,26,50,48,95,43,28,67,0,0,0,0,3,3,0,0,4,0,0,0,5,3,5,19,19,43,0,4,10,15,12,27,4,0,0,15,9,23,5,6,10,0,0,0,293,79,374
90101100102,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4
90101100103,174,176,350,13,8,24,39,30,71,9,9,9,0,7,10,15,17,32,27,39,63,26,32,60,22,22,40,23,4,29,0,3,7,0,0,0,172,171,334,7,5,17,0,4,7,0,0,0,0,0,0,0,4,7,103,89,193,61,66,128,80,68,140,87,91,178,138,127,271,6,3,8,36,29,64,3,6,10,0,4,4,9,10,10,63,81,145,4,5,13,20,14,37,7,0,8,11,10,16,3,4,6,158,154,312,25,15,34
90101100104,322,251,568,24,16,40,28,34,60,7,10,24,15,13,30,56,39,91,44,42,87,55,41,95,35,27,68,45,21,72,9,7,15,0,0,0,294,229,527,31,16,43,0,0,0,0,0,0,0,0,0,0,0,0,144,103,245,98,93,183,99,63,161,146,133,280,204,147,351,5,3,13,28,27,54,6,10,15,3,0,0,4,7,13,90,87,180,18,9,31,42,30,76,8,4,14,24,6,31,4,9,11,204,177,386,198,145,342
90101100105,229,199,433,7,9,18,31,29,64,9,12,20,4,3,9,40,39,76,20,31,52,28,23,54,37,31,69,31,16,50,3,3,5,4,0,4,213,188,403,12,19,30,4,0,3,0,0,0,0,0,0,4,3,4,118,111,236,67,50,121,89,71,158,104,97,199,160,134,297,0,0,6,28,22,51,0,7,11,4,5,3,3,8,14,91,76,166,8,18,29,32,23,51,0,0,0,13,4,19,7,3,5,181,160,345,100,79,178
90102100201,225,211,432,18,14,32,40,25,73,4,3,11,20,16,31,19,21,46,32,26,58,16,14,29,34,41,75,25,26,43,15,11,29,3,0,11,209,205,417,11,4,19,0,0,0,0,0,0,0,0,0,0,0,0,167,156,324,22,13,32,6,0,7,178,171,351,189,178,364,4,4,3,34,20,51,0,0,4,0,0,0,8,7,11,51,61,112,6,7,20,17,16,33,3,4,10,15,7,19,38,41,77,187,178,364,35,36,67
90102100202,74,69,147,5,0,10,11,7,21,0,3,0,0,5,5,8,12,19,10,13,20,16,15,29,23,13,37,5,3,10,4,0,4,0,0,0,69,67,132,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,52,46,93,12,10,22,52,47,104,8,11,15,61,57,113,0,0,0,9,6,19,0,0,0,0,0,0,0,3,3,22,37,58,5,4,5,14,3,23,0,0,3,0,0,0,0,0,4,64,62,125,80,72,150
90102100203,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,0,0,0,0,0,0,5,11,11,8,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0
90103100301,64,67,128,0,8,12,11,12,27,3,6,14,4,7,13,6,7,9,12,14,17,7,4,17,5,7,16,4,0,4,0,6,5,0,0,0,61,64,126,0,0,4,13,18,34,0,0,0,0,0,0,13,23,34,47,58,98,4,0,9,45,56,100,0,4,3,47,55,109,0,0,3,4,13,23,0,0,0,0,0,5,6,0,9,24,32,59,0,3,5,9,0,6,0,0,3,0,3,3,0,0,0,41,57,101,121,53,177
90103100302,75,88,167,3,4,7,10,9,20,7,7,12,3,4,13,7,9,18,12,7,16,12,22,32,11,5,18,13,10,21,8,7,12,0,0,0,80,84,160,0,5,4,75,75,153,0,0,0,0,0,0,75,79,152,44,51,98,0,0,0,41,49,88,6,3,6,44,49,99,0,0,0,5,6,9,3,4,4,0,0,0,0,5,5,12,11,27,3,0,3,9,5,13,6,7,22,6,9,13,0,0,0,80,84,160,0,0,0
