SA1_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
90101100101,0,0,0,0,0,0,3,0,0,0,21,19,17,4,0,0,84,109,23,0,4,0,32,61,17,4,3,0,14,42,10,0,0,0,0,14,13,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,87,14,13,5,151,270,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,8,5,0,0,0,3,8,12,0,3,0,0,16,10,0,0,0,4,18,7,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,33,0,4,4,15,52,0,0,0,0,3,3,4,0,0,0,19,22,17,4,0,0,85,116,26,0,4,0,34,67,29,4,9,0,18,50,21,3,0,0,5,30,20,0,0,4,0,26,9,0,0,3,0,9,0,0,0,0,0,0,120,16,14,7,169,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,9,9,0,0,0,0,0,0,3,0,0,0,15,15,18,0,0,0,4,27,18,0,6,0,0,26,15,0,5,0,0,22,19,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,72,6,12,4,30,119,0,0,0,0,9,9,0,0,0,0,7,7,5,0,0,0,13,17,30,3,0,0,9,39,19,0,3,0,3,32,18,0,5,0,0,22,3,0,0,6,0,4,0,0,0,0,0,3,0,0,0,0,0,0,69,3,14,9,38,133,0,0,0,0,9,9,0,0,0,0,10,10,8,0,3,0,26,32,49,3,0,0,10,63,38,0,14,0,6,60,26,0,6,0,0,40,25,0,0,3,0,29,4,0,0,4,0,7,0,0,0,0,0,0,148,9,27,10,67,256
90101100104,0,0,0,0,7,7,0,0,0,0,17,15,26,0,0,0,31,56,23,0,4,0,16,44,29,9,8,0,14,55,26,4,6,0,6,35,35,0,7,0,10,45,9,0,0,0,0,9,0,0,0,0,0,0,139,11,22,0,96,272,0,0,0,0,10,10,0,0,0,0,9,13,20,0,0,0,20,39,33,0,0,0,4,42,27,3,0,0,4,41,17,4,4,0,9,27,16,0,3,0,5,21,5,0,0,0,0,7,0,0,0,0,0,0,123,8,12,5,54,203,0,0,0,0,24,24,0,0,0,0,23,30,43,0,0,0,50,91,55,0,4,0,19,87,59,4,16,0,15,95,43,0,8,0,10,68,43,3,10,0,9,72,13,0,0,0,0,15,0,0,0,0,0,0,259,18,32,5,152,469
90101100105,0,0,0,0,9,9,0,0,0,0,4,4,13,0,0,0,28,40,12,0,3,3,7,20,10,0,3,0,14,28,28,0,5,0,4,37,26,4,3,0,6,31,0,0,0,0,0,3,4,0,0,0,0,4,89,5,16,6,66,184,0,0,0,0,12,12,0,0,0,0,3,3,15,3,0,0,20,39,11,0,7,0,9,31,16,0,0,0,5,23,25,0,3,0,0,31,10,0,0,3,0,16,3,0,0,0,0,3,0,0,0,0,0,0,86,4,14,6,53,163,0,0,0,0,20,20,0,0,0,0,9,9,25,3,0,0,44,76,23,0,8,3,20,52,25,5,4,0,22,54,47,0,9,0,5,69,37,4,9,3,5,50,3,0,0,0,0,5,4,0,0,0,0,4,178,9,30,10,122,344
90102100201,0,0,0,0,4,4,5,0,0,0,11,20,17,0,0,0,0,19,29,0,5,0,0,32,16,0,0,0,0,16,32,0,0,0,0,34,21,0,0,0,0,25,18,0,0,0,0,15,0,0,0,0,0,3,138,0,6,3,22,165,0,0,0,0,3,3,9,0,0,0,4,16,19,0,0,0,0,21,19,0,0,0,4,26,12,0,0,0,0,14,38,3,0,0,3,41,24,0,0,0,0,26,5,0,0,0,0,11,0,0,0,0,0,0,135,3,7,4,19,168,0,0,0,0,11,11,14,0,0,0,14,31,38,0,0,0,3,46,53,0,7,0,4,58,27,0,0,0,0,29,67,3,0,0,3,75,39,0,0,0,0,43,24,0,0,3,0,29,0,0,0,7,0,11,270,3,10,11,39,333
90102100202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,0,0,0,3,10,10,0,3,0,0,16,16,0,0,0,3,23,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,31,0,3,3,18,61,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,11,12,8,0,0,0,4,13,11,0,3,0,0,15,8,0,7,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,6,3,0,22,60,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,14,19,14,0,0,0,12,20,17,0,3,0,3,29,22,3,10,0,3,37,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,65,4,11,3,34,121
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14
90103100301,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,4,6,6,0,0,0,0,12,3,0,0,0,5,7,7,0,0,0,3,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,23,51,0,0,0,0,6,6,0,0,0,0,7,7,3,0,0,0,3,7,9,0,0,0,4,14,5,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,23,45,0,0,0,0,14,14,0,0,0,0,13,13,0,0,0,0,9,9,12,0,0,0,9,17,9,0,4,0,0,17,8,0,0,0,6,16,3,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,46,4,4,0,42,98
90103100302,0,0,0,0,7,7,0,0,0,0,3,3,0,0,0,0,9,7,3,0,0,0,6,12,0,0,0,0,11,12,5,0,0,0,3,11,6,0,0,0,0,13,3,0,0,0,0,8,0,0,0,0,0,0,23,3,0,4,41,65,0,0,0,0,7,7,0,0,0,0,4,4,6,0,0,0,10,9,0,0,0,0,0,7,6,0,0,0,9,22,0,0,0,3,4,5,5,0,0,0,3,10,0,0,0,9,0,7,0,0,0,0,0,0,17,3,0,16,40,68,0,0,0,0,12,12,0,0,0,0,13,13,0,0,0,0,12,18,5,0,0,0,7,16,9,0,0,0,22,32,11,0,0,3,8,18,15,0,0,5,6,21,5,0,0,5,0,12,0,0,0,0,0,0,35,5,0,13,83,136
