SA1_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
90101100101,0,0,0,0,5,0,8,3,3,4,0,0,0,6,5,14,3,0,7,0,0,0,0,0,0,0,3,3,0,0,5,5,9,18,0,0,7,0,0,0,3,0,3,0,0,0,5,0,0,9,3,10,3,0,3,10,0,10,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,61,334
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,4,6,4,0,0,0,9,0,5,4,5,8,15,4,24,0,0,3,0,0,4,0,3,3,0,0,4,4,6,4,7,15,19,0,4,3,7,0,7,0,0,0,3,3,3,5,0,3,13,4,19,4,0,4,0,0,0,4,0,4,0,0,0,3,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,176,350
90101100104,11,3,0,6,5,3,11,4,3,9,3,4,9,23,24,45,0,0,8,0,0,0,4,0,5,6,0,5,0,3,5,15,9,26,9,3,9,8,7,16,5,0,3,4,0,6,3,6,8,18,18,41,5,0,8,15,0,15,6,0,6,4,0,4,0,0,0,26,0,29,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,3,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,322,251,568
90101100105,8,4,5,10,5,0,5,4,4,6,0,4,7,19,13,35,0,3,10,4,4,8,8,8,15,3,0,6,3,3,8,16,18,40,0,3,8,0,3,4,5,0,5,4,6,6,3,0,5,18,11,26,9,0,11,5,3,13,0,4,0,4,0,4,0,0,0,19,7,22,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,3,4,5,0,5,0,0,0,0,0,0,0,0,0,229,199,433
90102100201,7,0,3,3,6,8,14,7,0,10,3,0,11,18,20,39,0,0,4,10,4,11,0,6,9,4,8,14,4,0,4,21,19,32,0,0,3,0,5,9,5,0,5,3,3,4,3,7,9,10,14,29,9,4,10,0,7,7,5,0,3,5,0,5,0,0,0,9,11,23,4,0,3,5,0,9,3,0,6,6,0,7,0,0,0,10,10,23,4,0,6,0,0,10,0,0,0,0,0,0,0,0,0,225,211,432
90102100202,4,0,0,3,0,0,3,0,0,0,0,0,0,7,6,15,0,4,4,0,0,0,8,3,11,4,0,4,6,0,3,12,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,69,147
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14
90103100301,4,0,0,0,0,4,4,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67,128
90103100302,6,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,0,0,0,0,0,5,0,3,3,0,0,0,4,3,12,0,3,3,0,7,5,0,0,0,0,0,3,6,0,5,9,6,19,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,75,88,167
90103100303,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
