SA1_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
90101100101,0,0,0,11,0,0,11,102,217,324
90101100102,0,0,0,0,0,0,0,3,0,3
90101100103,0,0,0,69,4,3,81,157,18,256
90101100104,0,0,0,88,16,4,110,232,123,469
90101100105,4,0,4,61,8,0,70,209,60,344
90102100201,6,0,11,48,27,0,74,199,61,333
90102100202,0,0,0,20,8,6,28,59,29,121
90102100203,0,0,0,6,0,0,6,12,0,14
90103100301,0,0,0,18,14,0,29,41,23,98
90103100302,0,0,0,6,8,0,10,67,57,136
90103100303,0,0,0,0,0,0,0,11,0,11
90103100304,0,0,0,0,0,0,0,0,0,0
90104100401,8,0,7,61,19,8,86,221,14,323
90104100402,4,0,4,44,24,3,75,179,49,300
90104100403,10,0,13,56,35,4,92,318,40,446
90104100404,7,0,12,56,27,0,91,244,60,392
90104100405,0,0,0,0,0,0,0,7,0,7
90104100406,0,0,0,0,0,0,0,0,0,0
90104100407,10,0,10,63,34,12,110,203,52,366
90104100408,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,4,0,0,4,6,3,11
