SA1_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
90101100101,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101100102,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
90101100103,..,29,29,35,0,39,20,0,20,21,0,21,18,0,18,4,0,4,89,31,121
90101100104,..,46,46,45,0,45,27,0,27,27,0,27,8,0,8,4,0,4,106,46,150
90101100105,..,46,46,39,5,47,22,0,22,16,0,16,11,0,11,3,0,3,95,54,148
90102100201,..,0,0,21,0,21,15,0,15,12,0,12,12,0,12,26,0,26,79,0,80
90102100202,..,5,5,21,0,22,9,0,9,6,0,6,4,0,4,0,0,0,34,10,43
90102100203,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90103100301,..,8,8,13,0,13,0,0,0,3,0,3,0,0,0,3,0,3,26,8,34
90103100302,..,7,7,15,4,14,7,0,7,7,0,7,0,0,0,11,0,11,41,13,50
90103100303,..,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,3,6
90103100304,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,..,68,68,58,0,58,16,0,16,15,0,15,13,0,13,3,0,3,104,71,173
90104100402,..,50,50,49,6,54,15,0,15,9,0,9,8,0,8,5,0,5,90,51,145
90104100403,..,93,93,79,3,85,30,0,31,18,0,18,5,0,5,0,0,0,125,103,229
90104100404,..,72,72,73,6,77,17,0,17,11,0,11,8,0,4,0,0,0,100,76,183
90104100405,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
90104100406,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,..,55,55,62,0,59,19,0,19,26,0,26,11,0,11,6,0,6,110,53,168
90104100408,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
