SA1_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
90101100101,0,0,0,0,0,0,0,0
90101100102,0,0,0,0,0,0,0,0
90101100103,41,7,0,0,0,0,0,48
90101100104,51,4,0,0,0,0,0,59
90101100105,43,0,0,0,0,0,0,40
90102100201,58,4,0,0,0,0,0,58
90102100202,14,6,0,0,0,0,0,12
90102100203,0,0,0,0,0,0,0,0
90103100301,9,3,0,0,0,0,0,12
90103100302,3,0,0,0,0,0,0,9
90103100303,0,0,0,0,0,0,0,0
90103100304,0,0,0,0,0,0,0,0
90104100401,25,4,4,3,0,0,0,37
90104100402,27,0,0,0,0,0,0,29
90104100403,31,5,0,0,0,0,0,34
90104100404,19,0,0,0,0,0,0,23
90104100405,0,0,0,0,0,0,0,0
90104100406,0,0,0,0,0,0,0,0
90104100407,36,0,5,0,0,0,0,47
90104100408,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,0,0,0,0
