SA1_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
90101100101,0,0,6,5,16,9,3,0,0,41,0,0,0,0,0,5,3,4,0,10,0,0,0,0,0,0,0,0,0,5,0,3,8,8,16,18,3,4,0,52,0,3,10,14,19,12,8,0,0,73,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14,28,20,13,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14,28,20,13,0,0,81,4,20,105,52,24,5,10,9,0,236,0,0,0,0,0,4,0,0,0,6,3,22,116,67,50,30,26,9,0,324
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,6,7,15,42,29,13,7,0,0,104,0,0,3,5,0,6,3,3,0,15,0,0,3,4,0,4,0,0,0,9,9,7,17,39,32,22,4,3,0,133,0,3,21,47,38,18,15,0,0,149,4,4,6,8,5,8,0,0,0,33,0,0,0,4,0,4,0,0,0,14,0,0,0,5,3,0,0,0,0,11,7,5,30,58,48,30,21,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,30,58,48,29,21,0,0,202,6,0,0,5,3,7,7,7,0,33,0,0,3,3,8,4,0,0,0,21,9,10,32,63,60,40,29,7,0,256
90101100104,11,4,23,25,30,17,13,0,0,115,3,3,5,8,4,4,7,7,0,38,0,3,13,11,3,9,3,3,0,47,10,13,39,42,41,27,21,7,0,203,0,9,43,39,51,32,16,0,0,194,12,8,6,12,4,11,9,0,0,59,0,0,4,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,12,17,54,52,60,42,29,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,12,17,54,52,61,45,29,0,0,272,11,3,3,8,6,9,28,11,0,74,0,14,35,25,29,13,14,3,0,127,24,30,91,87,95,68,72,15,0,469
90101100105,6,3,20,17,21,19,3,0,0,94,3,4,4,3,3,9,13,3,0,38,0,0,8,9,6,8,0,0,0,29,12,3,39,31,23,31,16,3,0,163,0,6,37,17,27,27,12,0,0,129,8,0,15,12,9,5,9,0,0,67,0,0,3,0,4,7,0,0,0,12,0,0,7,0,0,0,0,0,0,17,8,6,55,36,40,44,22,0,0,213,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,6,55,34,41,51,22,0,0,224,3,4,5,9,3,11,24,5,4,69,0,0,21,10,8,13,5,0,0,56,20,9,76,52,54,69,50,5,4,344
90102100201,0,12,17,14,7,15,0,0,0,64,3,3,3,5,4,16,18,11,0,77,0,6,7,5,0,10,6,0,0,26,3,16,21,26,14,41,26,11,0,168,0,11,22,25,12,24,0,0,0,99,0,8,11,16,3,10,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,31,40,15,35,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,23,31,43,15,40,0,0,0,153,3,4,3,7,3,23,39,23,11,119,0,3,10,9,7,17,5,6,0,56,11,31,46,58,29,75,43,29,11,333
90102100202,0,0,10,8,9,11,5,0,0,45,0,0,0,0,0,0,0,0,0,3,0,0,4,5,4,3,0,0,0,17,3,5,12,13,15,13,3,0,0,60,0,0,3,12,20,21,4,0,0,58,3,0,6,9,8,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,18,23,26,5,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,18,23,26,5,0,0,89,0,0,0,0,0,4,0,0,0,5,0,0,3,0,3,9,5,4,0,29,0,5,19,20,29,37,10,4,0,121
90102100203,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,0,0,14
90103100301,5,6,4,7,4,7,0,0,0,34,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,3,0,0,0,8,6,7,7,14,4,7,0,6,0,45,5,3,5,7,11,6,0,0,0,41,0,0,0,4,5,0,0,0,0,9,0,0,3,0,4,0,0,0,0,10,0,4,0,0,0,0,0,0,0,4,5,12,12,10,13,9,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,3,5,12,12,16,13,11,0,0,0,67,0,0,0,0,0,0,0,3,0,7,0,0,0,4,3,4,0,0,0,21,14,13,9,17,17,16,4,5,0,98
90103100302,0,0,0,0,3,3,0,0,0,10,3,3,3,0,10,6,11,0,0,29,3,0,8,4,6,0,4,3,0,28,7,4,9,7,22,5,10,7,0,68,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,8,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,6,3,0,0,0,20,3,3,3,0,16,7,16,0,0,54,3,5,10,5,8,10,12,8,0,56,12,13,18,16,32,18,21,12,0,136
