SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
90101100101,10,26,116,67,50,30,26,9,0,334
90101100102,0,0,0,0,0,0,0,0,0,3
90101100103,94,19,32,63,60,40,29,7,0,350
90101100104,102,49,91,87,95,68,72,15,0,568
90101100105,87,28,76,52,54,69,50,5,4,433
90102100201,103,43,46,58,29,75,43,29,11,432
90102100202,26,5,19,20,29,37,10,4,0,147
90102100203,0,0,3,5,0,3,5,0,0,14
90103100301,35,21,9,17,17,16,4,5,0,128
90103100302,26,17,18,16,32,18,21,12,0,167
90103100303,0,0,4,0,3,0,0,0,0,11
90103100304,0,0,0,0,0,0,0,0,0,0
90104100401,70,32,20,51,53,79,57,21,7,389
90104100402,73,38,19,48,40,75,49,27,4,373
90104100403,56,34,50,69,69,100,87,31,13,504
90104100404,71,43,37,46,69,85,64,38,12,468
90104100405,0,0,0,0,0,0,0,6,0,7
90104100406,0,0,0,0,0,0,0,0,0,0
90104100407,83,41,35,37,64,66,68,43,10,452
90104100408,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,4,0,0,3,0,0,0,11
