SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
90101100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,40,13,3,19,0,81
90101100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90101100103,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,10,14,18,7,8,65,44,13,30,11,200
90101100104,0,0,0,0,0,5,0,3,0,8,0,0,0,0,5,4,0,0,0,8,8,40,16,8,63,61,18,52,0,267
90101100105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,8,21,12,33,15,13,51,39,12,29,17,213
90102100201,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,3,0,12,0,33,8,11,33,19,3,44,0,152
90102100202,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,8,0,11,9,8,16,22,6,14,0,89
90102100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
90103100301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,3,12,3,18,4,62
90103100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,14,3,0,0,0,24
90103100303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14
90103100304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100401,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,18,36,30,27,46,39,13,21,0,226
90104100402,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,3,3,0,0,9,13,36,17,24,41,34,10,6,0,187
90104100403,0,0,4,0,0,0,0,0,0,8,4,0,0,0,0,4,0,0,0,6,29,45,32,25,67,49,11,27,7,284
90104100404,0,0,0,0,0,5,0,0,0,7,0,0,0,0,4,0,0,0,0,10,12,29,37,19,55,46,10,15,3,229
90104100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
90104100406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90104100407,0,0,0,4,0,0,0,0,0,7,0,7,3,3,0,0,0,6,0,18,14,41,25,32,42,21,11,13,3,204
90104100408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99797979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999949999,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
